epoch:30	trainacc=0.985735838705253	trainloss=0.04383277468833967	acc=0.7770534550195567	prec=0.7855227882037533	f1=0.774108322324967	auc=0.8483463881636205	spec=0.7911227154046997	mcc=0.5543508961760962	auprc=0.8433725569055227	sensitivity=0.7630208333333334
epoch:31	trainacc=0.9884789466465506	trainloss=0.039369668696971206	acc=0.788787483702738	prec=0.8171428571428572	f1=0.779291553133515	auc=0.8712195387293298	spec=0.8328981723237598	mcc=0.5799061016023245	auprc=0.8643353001911579	sensitivity=0.7447916666666666
epoch:32	trainacc=0.989644767521602	trainloss=0.033171119190435076	acc=0.7627118644067796	prec=0.7869318181818182	f1=0.7527173913043478	auc=0.8603201153176675	spec=0.804177545691906	mcc=0.5273130835028783	auprc=0.8261714197340915	sensitivity=0.7213541666666666
epoch:33	trainacc=0.9871073926759018	trainloss=0.03791273803266542	acc=0.7627118644067796	prec=0.8042168674698795	f1=0.7458100558659219	auc=0.8699412532637076	spec=0.8302872062663186	mcc=0.5304035750810415	auprc=0.8659719341309862	sensitivity=0.6953125
epoch:34	trainacc=0.9866959264847072	trainloss=0.0400671211061232	acc=0.7770534550195567	prec=0.8198198198198198	f1=0.7615062761506276	auc=0.8693361074847693	spec=0.8433420365535248	mcc=0.55914811201998	auprc=0.8672692430805382	sensitivity=0.7109375
epoch:35	trainacc=0.9859415718008504	trainloss=0.04482952374769034	acc=0.7705345501955672	prec=0.8023255813953488	f1=0.7582417582417582	auc=0.8588004514795474	spec=0.8224543080939948	mcc=0.5440976362768306	auprc=0.8366598929229212	sensitivity=0.71875
epoch:36	trainacc=0.9900562337127966	trainloss=0.03842097349145493	acc=0.7653194263363755	prec=0.7865168539325843	f1=0.7567567567567568	auc=0.8543978459530026	spec=0.8015665796344648	mcc=0.5321026022995615	auprc=0.8380710170069972	sensitivity=0.7291666666666666
epoch:37	trainacc=0.9887532574406803	trainloss=0.036782506952762986	acc=0.7535853976531942	prec=0.7927927927927928	f1=0.7364016736401674	auc=0.8489311357702349	spec=0.8198433420365535	mcc=0.5117996482597043	auprc=0.8317384452551739	sensitivity=0.6875
epoch:38	trainacc=0.9900562337127966	trainloss=0.03241656648178941	acc=0.7314211212516297	prec=0.7746913580246914	f1=0.7090395480225989	auc=0.8122688207136641	spec=0.8093994778067886	mcc=0.4687206872660259	auprc=0.7412026695158436	sensitivity=0.6536458333333334
epoch:39	trainacc=0.9888904128377451	trainloss=0.037180416940549424	acc=0.7601043024771839	prec=0.803030303030303	f1=0.7422969187675069	auc=0.8637062119234117	spec=0.8302872062663186	mcc=0.5255298621382718	auprc=0.85324520330074	sensitivity=0.6901041666666666
epoch:40	trainacc=0.9895076121245371	trainloss=0.031014524208969434	acc=0.7601043024771839	prec=0.7941176470588235	f1=0.7458563535911603	auc=0.8400103350739774	spec=0.8172323759791122	mcc=0.5237370746621646	auprc=0.8019166669306078	sensitivity=0.703125
epoch:41	trainacc=0.9899190783157317	trainloss=0.03127246813647287	acc=0.758800521512386	prec=0.8024316109422492	f1=0.7405329593267882	auc=0.8584196855961705	spec=0.8302872062663186	mcc=0.5230958932007151	auprc=0.8598298667080828	sensitivity=0.6875
